Year,Grid_Ref_Easting,Grid_Ref_Northing,Number_of_Vehicles,Number_of_Casualties,Accident_Date,Time,Road_Class,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Casualty_Severity,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle
2013,426983,433434,3,1,15.01.2013,1545,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,42,Car
2013,424366,445442,2,1,15.01.2013,1640,"A (""back roads"")",Ice,Darkness (streetlights present and lit),Other,Vehicle or pillion passenger,Slight,Female,78,Car
2013,424481,435632,2,1,13.01.2013,1345,Unclassified,Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Serious,Male,34,Motorcycle >125cc and <=500cc
2013,430284,432421,1,1,15.01.2013,1313,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,47,Car
2013,430374,433485,1,1,16.01.2013,2015,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Serious,Male,65,Bus or coach
2013,429794,433923,2,2,16.01.2013,2100,Unclassified,Wet,Darkness (streetlights present and lit),Fine with high winds,Driver or rider,Slight,Male,30,Car
2013,429794,433923,2,2,16.01.2013,2100,Unclassified,Wet,Darkness (streetlights present and lit),Fine with high winds,Driver or rider,Slight,Female,32,Car
2013,433157,435244,2,3,16.01.2013,1305,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,26,Car
2013,433157,435244,2,3,16.01.2013,1305,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,70,Car
2013,433157,435244,2,3,16.01.2013,1305,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,60,Car
2013,436252,435822,2,1,16.01.2013,1630,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,39,Car
2013,425888,429880,2,1,18.01.2013,710,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,35,Bicycle
2013,434857,428434,1,1,18.01.2013,1250,Unclassified,Ice,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,82,Car
2013,430877,433880,1,2,18.01.2013,2100,Unclassified,Snow,Darkness (streetlights present and lit),Snowing without high winds,Driver or rider,Slight,Male,27,Car
2013,430877,433880,1,2,18.01.2013,2100,Unclassified,Snow,Darkness (streetlights present and lit),Snowing without high winds,Vehicle or pillion passenger,Slight,Male,20,Car
2013,434813,427913,1,3,20.01.2013,1,Unclassified,Ice,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,25,Car
2013,434813,427913,1,3,20.01.2013,1,Unclassified,Ice,Darkness (streetlighting unknown),Fine without high winds,Vehicle or pillion passenger,Slight,Female,38,Car
2013,434813,427913,1,3,20.01.2013,1,Unclassified,Ice,Darkness (streetlighting unknown),Fine without high winds,Vehicle or pillion passenger,Slight,Female,27,Car
2013,424128,444004,2,1,20.01.2013,1044,"A (""back roads"")",Ice,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,35,Bicycle
2013,431857,437833,1,1,19.01.2013,1350,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,42,Car
2013,426701,429825,1,2,21.01.2013,1151,Motorway (freeway),Wet,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,27,Car
2013,426701,429825,1,2,21.01.2013,1151,Motorway (freeway),Wet,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,1,Car
2013,420668,440755,3,1,21.01.2013,1539,Unclassified,Snow,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,29,Car
2013,426510,433865,2,1,21.01.2013,2125,Unclassified,Snow,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Female,35,Car
2013,418962,446446,1,1,22.01.2013,1615,Unclassified,Wet,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,8,Car
2013,431481,435005,7,3,22.01.2013,1430,Unclassified,Snow,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,33,Car
2013,430995,424606,2,1,16.09.2013,1535,Motorway (freeway),Dry,Daylight (streetlights present),Unknown,Driver or rider,Slight,Male,65,Car
